country,predicted_2025_millions,growth_percent,confidence_score
Poland,6.545749501534203,181.40931452904064,70.4289792058075
Greece,2.4632620013776148,171.75424482614378,90.86736706580626
"Congo, Rep.",52.223040496650356,162.64880887829213,82.20234396786074
Burkina Faso,1.8122811424268832,161.5803733187383,70.67275335727875
Cameroon,0.17210235715128164,160.91928009593946,89.61843920695554
Zambia,9.683108574944981,155.05490809763205,83.09269578894158
India,179.3207677675182,151.93310309462248,70.42471940759059
Ethiopia(excludes Eritrea),88.47472780049247,142.17709543844103,83.09321645766647
Nigeria,1.7286504288552464,132.30801871408462,72.81388331897627
Canada,7.343492788079402,123.83920468434792,76.39474502051343
