Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%),Transaction_ID,Export_Value_USD,Export_Value_Millions,Region,YoY_Growth_Rate,YoY_Growth_Absolute
Rwanda,Benin,2019,Export,17.0,0.76,46.88,0.0,RW-BEN-2019,46880.0,0.046880000000000005,Africa,391.4046121593292,37.34
Rwanda,Benin,2020,Export,21.0,1.02,17.76,0.0,RW-BEN-2020,17760.0,0.01776,Africa,-62.11604095563139,-29.12
Rwanda,Benin,2021,Export,9.0,0.4,6.45,0.0,RW-BEN-2021,6450.0,0.00645,Africa,-63.682432432432435,-11.310000000000002
Rwanda,Benin,2022,Export,14.0,0.61,9.75,0.0,RW-BEN-2022,9750.0,0.00975,Africa,51.162790697674424,3.3
Rwanda,Bolivia,2022,Export,12.0,0.52,8.55,0.0,RW-BOL-2022,8550.0,0.00855,Americas,,
Rwanda,Bosnia and Herzegovina,2019,Export,1.0,0.04,4.41,0.0,RW-BOS-2019,4410.0,0.00441,Europe & Central Asia,,
Rwanda,Bosnia and Herzegovina,2020,Export,1.0,0.05,7.03,0.0,RW-BOS-2020,7030.0,0.007030000000000001,Europe & Central Asia,59.41043083900226,2.62
Rwanda,Botswana,2018,Export,11.0,0.54,26.5,0.0,RW-BOT-2018,26500.0,0.0265,Africa,,
Rwanda,Botswana,2019,Export,9.0,0.4,1.01,0.0,RW-BOT-2019,1010.0,0.00101,Africa,-96.18867924528301,-25.49
Rwanda,Botswana,2020,Export,1.0,0.05,5.05,0.0,RW-BOT-2020,5050.0,0.00505,Africa,400.0,4.04
Rwanda,Botswana,2021,Export,7.0,0.31,5.33,0.0,RW-BOT-2021,5330.0,0.00533,Africa,5.5445544554455495,0.28000000000000025
Rwanda,Brunei,2021,Export,1.0,0.04,0.03,0.0,RW-BRU-2021,30.0,2.9999999999999997e-05,Asia & Middle East,,
Rwanda,Bulgaria,2018,Export,18.0,0.88,47.02,0.0,RW-BUL-2018,47020.0,0.047020000000000006,Europe & Central Asia,,
Rwanda,Bulgaria,2019,Export,15.0,0.67,165.02,0.01,RW-BUL-2019,165020.0,0.16502,Europe & Central Asia,250.95703955763503,118.0
Rwanda,Bulgaria,2020,Export,1.0,0.05,3.05,0.0,RW-BUL-2020,3050.0,0.0030499999999999998,Europe & Central Asia,-98.15173918312932,-161.97
Rwanda,Bulgaria,2021,Export,1.0,0.04,8.71,0.0,RW-BUL-2021,8710.0,0.00871,Europe & Central Asia,185.57377049180332,5.660000000000001
Rwanda,Bulgaria,2022,Export,1.0,0.04,4.38,0.0,RW-BUL-2022,4380.0,0.00438,Europe & Central Asia,-49.71297359357062,-4.330000000000001
Rwanda,Burkina Faso,2018,Export,6.0,0.29,1.94,0.0,RW-BUR-2018,1940.0,0.0019399999999999999,Africa,,
Rwanda,Burkina Faso,2019,Export,6.0,0.27,73.77,0.01,RW-BUR-2019,73770.0,0.07377,Africa,3702.577319587629,71.83
Rwanda,Burkina Faso,2020,Export,4.0,0.19,46.93,0.0,RW-BUR-2020,46930.0,0.04693,Africa,-36.38335366680222,-26.839999999999996
Rwanda,Burkina Faso,2021,Export,1.0,0.04,70.01,0.0,RW-BUR-2021,70010.0,0.07001,Africa,49.179629235030916,23.080000000000005
Rwanda,Burkina Faso,2022,Export,2.0,0.09,692.82,0.03,RW-BUR-2022,692820.0,0.6928200000000001,Africa,889.6014855020711,622.8100000000001
Rwanda,Burundi,2018,Export,265.0,13.0,15804.46,1.57,RW-BUR-2018,15804460.0,15.804459999999999,Africa,,
Rwanda,Burundi,2019,Export,273.0,12.19,38168.44,3.37,RW-BUR-2019,38168440.0,38.168440000000004,Africa,141.50423361506816,22363.980000000003
Rwanda,Burundi,2020,Export,102.0,4.95,5262.59,0.37,RW-BUR-2020,5262590.0,5.26259,Africa,-86.21219520630133,-32905.850000000006
Rwanda,Burundi,2021,Export,21.0,0.94,341.33,0.02,RW-BUR-2021,341330.0,0.34132999999999997,Africa,-93.51403016385468,-4921.26
Rwanda,Burundi,2022,Export,101.0,4.41,3879.43,0.19,RW-BUR-2022,3879430.0,3.8794299999999997,Africa,1036.562857059151,3538.1
Rwanda,Cambodia,2018,Export,22.0,1.08,57.18,0.01,RW-CAM-2018,57180.0,0.05718,Asia & Middle East,,
Rwanda,Cambodia,2019,Export,7.0,0.31,36.96,0.0,RW-CAM-2019,36960.0,0.03696,Asia & Middle East,-35.362014690451204,-20.22
Rwanda,Cambodia,2020,Export,1.0,0.05,2.27,0.0,RW-CAM-2020,2270.0,0.00227,Asia & Middle East,-93.85822510822511,-34.69
Rwanda,Cambodia,2021,Export,5.0,0.22,3.03,0.0,RW-CAM-2021,3030.0,0.0030299999999999997,Asia & Middle East,33.48017621145374,0.7599999999999998
Rwanda,Cameroon,2018,Export,2.0,0.1,4.55,0.0,RW-CAM-2018,4550.0,0.00455,Africa,,
Rwanda,Cameroon,2019,Export,5.0,0.22,1.34,0.0,RW-CAM-2019,1340.0,0.00134,Africa,-70.54945054945054,-3.21
Rwanda,Cameroon,2020,Export,1.0,0.05,8.47,0.0,RW-CAM-2020,8470.0,0.00847,Africa,532.089552238806,7.130000000000001
Rwanda,Cameroon,2021,Export,4.0,0.18,45.49,0.0,RW-CAM-2021,45490.0,0.04549,Africa,437.07201889020075,37.02
Rwanda,Cameroon,2022,Export,8.0,0.35,65.96,0.0,RW-CAM-2022,65960.0,0.06595999999999999,Africa,44.99890085733127,20.46999999999999
Rwanda,Canada,2018,Export,13.0,0.64,560.81,0.06,RW-CAN-2018,560810.0,0.5608099999999999,Americas,,
Rwanda,Canada,2019,Export,17.0,0.76,380.48,0.03,RW-CAN-2019,380480.0,0.38048000000000004,Americas,-32.155275405217445,-180.32999999999993
Rwanda,Canada,2020,Export,38.0,1.84,1323.28,0.09,RW-CAN-2020,1323280.0,1.32328,Americas,247.79226240538264,942.8
Rwanda,Canada,2021,Export,29.0,1.29,986.31,0.06,RW-CAN-2021,986310.0,0.9863099999999999,Americas,-25.464754247022547,-336.97
Rwanda,Canada,2022,Export,30.0,1.31,3280.7,0.16,RW-CAN-2022,3280700.0,3.2807,Americas,232.6236173211262,2294.39
Rwanda,Central African Republic,2018,Export,35.0,1.72,10537.58,1.05,RW-CEN-2018,10537580.0,10.53758,Africa,,
Rwanda,Central African Republic,2019,Export,5.0,0.22,4.31,0.0,RW-CEN-2019,4310.0,0.00431,Africa,-99.95909876840793,-10533.27
Rwanda,Central African Republic,2020,Export,2.0,0.1,20.63,0.0,RW-CEN-2020,20630.0,0.02063,Africa,378.6542923433875,16.32
Rwanda,Central African Republic,2021,Export,58.0,2.59,267.56,0.02,RW-CEN-2021,267560.0,0.26756,Africa,1196.9461948618518,246.93
Rwanda,Central African Republic,2022,Export,50.0,2.18,598.69,0.03,RW-CEN-2022,598690.0,0.59869,Africa,123.7591568246375,331.13000000000005
Rwanda,Chad,2018,Export,1.0,0.05,0.5,0.0,RW-CHA-2018,500.0,0.0005,Africa,,
Rwanda,Chad,2019,Export,2.0,0.09,5.38,0.0,RW-CHA-2019,5380.0,0.00538,Africa,976.0,4.88
Rwanda,Chad,2020,Export,1.0,0.05,3.37,0.0,RW-CHA-2020,3370.0,0.00337,Africa,-37.36059479553903,-2.01
Rwanda,Chad,2021,Export,2.0,0.09,7.11,0.0,RW-CHA-2021,7110.0,0.00711,Africa,110.97922848664687,3.74
Rwanda,Chad,2022,Export,1.0,0.04,14.99,0.0,RW-CHA-2022,14990.0,0.01499,Africa,110.82981715893108,7.88
Rwanda,China,2018,Export,58.0,2.84,20136.26,2.01,RW-CHI-2018,20136260.0,20.13626,Asia & Middle East,,
Rwanda,China,2019,Export,44.0,1.96,6651.65,0.59,RW-CHI-2019,6651650.0,6.65165,Asia & Middle East,-66.96680515646898,-13484.609999999999
Rwanda,China,2020,Export,40.0,1.94,8356.69,0.58,RW-CHI-2020,8356690.000000001,8.35669,Asia & Middle East,25.633339096314465,1705.0400000000009
Rwanda,China,2021,Export,61.0,2.72,16462.96,1.05,RW-CHI-2021,16462960.0,16.46296,Asia & Middle East,97.0033589854356,8106.269999999999
Rwanda,China,2022,Export,28.0,1.22,96759.31,4.79,RW-CHI-2022,96759310.0,96.75931,Asia & Middle East,487.73944661227387,80296.35
Rwanda,Cocos (Keeling) Islands,2020,Export,1.0,0.05,40.39,0.0,RW-COC-2020,40390.0,0.04039,Other/Regional Grouping,,
Rwanda,Colombia,2019,Export,1.0,0.04,1.05,0.0,RW-COL-2019,1050.0,0.0010500000000000002,Americas,,
Rwanda,Colombia,2021,Export,1.0,0.04,0.95,0.0,RW-COL-2021,950.0,0.00095,Americas,-9.523809523809534,-0.10000000000000009
Rwanda,Colombia,2022,Export,16.0,0.7,15.13,0.0,RW-COL-2022,15130.0,0.015130000000000001,Americas,1492.6315789473686,14.180000000000001
Rwanda,"Congo, Dem. Rep.",2018,Export,1797.0,88.13,337219.87,33.58,RW-CON-2018,337219870.0,337.21987,Africa,,
Rwanda,"Congo, Dem. Rep.",2019,Export,2013.0,89.87,372798.41,32.93,RW-CON-2019,372798410.0,372.79841,Africa,10.550546739727995,35578.53999999998
Rwanda,"Congo, Dem. Rep.",2020,Export,1898.0,92.05,392326.16,27.41,RW-CON-2020,392326160.0,392.32615999999996,Africa,5.238152705640564,19527.75
Rwanda,"Congo, Dem. Rep.",2021,Export,2070.0,92.33,587370.77,37.59,RW-CON-2021,587370770.0,587.37077,Africa,49.7149132242418,195044.61000000004
Rwanda,"Congo, Dem. Rep.",2022,Export,2132.0,93.14,768272.62,38.05,RW-CON-2022,768272620.0,768.27262,Africa,30.798578894213602,180901.84999999998
Rwanda,"Congo, Rep.",2018,Export,50.0,2.45,176.55,0.02,RW-CON-2018,176550.0,0.17655,Africa,,
Rwanda,"Congo, Rep.",2019,Export,74.0,3.3,2807.89,0.25,RW-CON-2019,2807890.0,2.80789,Africa,1490.421976777117,2631.3399999999997
Rwanda,"Congo, Rep.",2020,Export,127.0,6.16,304.43,0.02,RW-CON-2020,304430.0,0.30443000000000003,Africa,-89.1580510632539,-2503.46
Rwanda,"Congo, Rep.",2021,Export,94.0,4.19,7105.6,0.45,RW-CON-2021,7105600.0,7.105600000000001,Africa,2234.066944782052,6801.17
Rwanda,"Congo, Rep.",2022,Export,22.0,0.96,19883.22,0.98,RW-CON-2022,19883220.0,19.88322,Africa,179.82464535014637,12777.62
Rwanda,Costa Rica,2019,Export,1.0,0.04,6.8,0.0,RW-COS-2019,6800.0,0.0068,Americas,,
Rwanda,Costa Rica,2022,Export,1.0,0.04,28.03,0.0,RW-COS-2022,28030.0,0.028030000000000003,Americas,312.20588235294116,21.23
Rwanda,Cote d'Ivoire,2018,Export,3.0,0.15,11.51,0.0,RW-COT-2018,11510.0,0.01151,Africa,,
Rwanda,Cote d'Ivoire,2019,Export,16.0,0.71,37.86,0.0,RW-COT-2019,37860.0,0.03786,Africa,228.93136403127716,26.35
Rwanda,Cote d'Ivoire,2020,Export,20.0,0.97,140.09,0.01,RW-COT-2020,140090.0,0.14009,Africa,270.02113048071845,102.23
Rwanda,Cote d'Ivoire,2021,Export,4.0,0.18,28.66,0.0,RW-COT-2021,28660.0,0.02866,Africa,-79.54172317795702,-111.43
Rwanda,Cote d'Ivoire,2022,Export,5.0,0.22,25.8,0.0,RW-COT-2022,25800.0,0.0258,Africa,-9.979064898813672,-2.8599999999999994
Rwanda,Croatia,2019,Export,1.0,0.04,0.14,0.0,RW-CRO-2019,140.0,0.00014000000000000001,Europe & Central Asia,,
Rwanda,Czech Republic,2019,Export,5.0,0.22,234.26,0.02,RW-CZE-2019,234260.0,0.23426,Europe & Central Asia,,
Rwanda,Czech Republic,2020,Export,4.0,0.19,242.06,0.02,RW-CZE-2020,242060.0,0.24206,Europe & Central Asia,3.3296337402885623,7.800000000000011
Rwanda,Czech Republic,2021,Export,6.0,0.27,284.64,0.02,RW-CZE-2021,284640.0,0.28464,Europe & Central Asia,17.590679996695037,42.579999999999984
Rwanda,Czech Republic,2022,Export,5.0,0.22,67.46,0.0,RW-CZE-2022,67460.0,0.06745999999999999,Europe & Central Asia,-76.29988757729062,-217.18
Rwanda,Denmark,2018,Export,1.0,0.05,24.48,0.0,RW-DEN-2018,24480.0,0.024480000000000002,Europe & Central Asia,,
Rwanda,Denmark,2019,Export,1.0,0.04,39.61,0.0,RW-DEN-2019,39610.0,0.03961,Europe & Central Asia,61.80555555555556,15.129999999999999
Rwanda,Denmark,2020,Export,2.0,0.1,4.31,0.0,RW-DEN-2020,4310.0,0.00431,Europe & Central Asia,-89.11890936632165,-35.3
Rwanda,Denmark,2021,Export,3.0,0.13,3.87,0.0,RW-DEN-2021,3870.0,0.00387,Europe & Central Asia,-10.208816705336421,-0.4399999999999995
Rwanda,Denmark,2022,Export,1.0,0.04,0.22,0.0,RW-DEN-2022,220.0,0.00022,Europe & Central Asia,-94.31524547803618,-3.65
Rwanda,Djibouti,2018,Export,36.0,1.77,20.62,0.0,RW-DJI-2018,20620.0,0.02062,Africa,,
Rwanda,Djibouti,2020,Export,1.0,0.05,0.37,0.0,RW-DJI-2020,370.0,0.00037,Africa,-98.20562560620758,-20.25
Rwanda,Djibouti,2022,Export,17.0,0.74,33.25,0.0,RW-DJI-2022,33250.0,0.03325,Africa,8886.486486486487,32.88
Rwanda,East Asia & Pacific,2018,Export,121.0,5.93,176223.65,17.55,RW-EAS-2018,176223650.0,176.22365,Other/Regional Grouping,,
Rwanda,East Asia & Pacific,2019,Export,89.0,3.97,64787.33,5.72,RW-EAS-2019,64787330.0,64.78733,Other/Regional Grouping,-63.235734817659264,-111436.31999999999
Rwanda,East Asia & Pacific,2020,Export,88.0,4.27,57839.4,4.04,RW-EAS-2020,57839400.0,57.839400000000005,Other/Regional Grouping,-10.724211045585609,-6947.93
Rwanda,East Asia & Pacific,2021,Export,104.0,4.64,86859.78,5.56,RW-EAS-2021,86859780.0,86.85978,Other/Regional Grouping,50.17406819572816,29020.379999999997
Rwanda,East Asia & Pacific,2022,Export,90.0,3.93,194684.51,9.64,RW-EAS-2022,194684510.0,194.68451000000002,Other/Regional Grouping,124.1365451305541,107824.73000000001
Rwanda,East Timor,2018,Export,16.0,0.78,8.49,0.0,RW-EAS-2018,8490.0,0.008490000000000001,Other/Regional Grouping,,
Rwanda,"Egypt, Arab Rep.",2018,Export,6.0,0.29,4520.75,0.45,RW-EGY-2018,4520750.0,4.52075,Africa,,
Rwanda,"Egypt, Arab Rep.",2019,Export,1.0,0.04,6468.84,0.57,RW-EGY-2019,6468840.0,6.46884,Africa,43.09218603107892,1948.0900000000001
Rwanda,"Egypt, Arab Rep.",2020,Export,5.0,0.24,10292.11,0.72,RW-EGY-2020,10292110.0,10.292110000000001,Africa,59.10286852047663,3823.2700000000004
