Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Rwanda,Ethiopia(excludes Eritrea),2022,Exports & Imports,7,114,0.31,3.11,36165.54,36533.07,367.53,0.01,1.81,21.79,16.08,89,82.02,15.73,2.25,0,35,0,63.12,245.2,6.11,21.79,16.08,89,82.02,15.73,2.25,0,35,0,63.12,245.2,6.11,
Rwanda,Finland,2022,Exports & Imports,21,152,0.92,4.15,-23754.71,3749.78,27504.48,0.54,0.19,14.6,12.74,92,46.74,50,0,3.26,533.67,0,0,564.96,396.71,14.6,12.74,92,46.74,50,0,3.26,533.67,0,0,564.96,396.71,
Rwanda,Falkland Island,2022,Exports & Imports,,1,,0.03,,,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,France,2022,Exports & Imports,25,945,1.09,25.78,-44804.72,4820.32,49625.04,0.97,0.24,17.67,22.34,651,69.43,29.34,0.46,0.77,533.67,0,62.17,16292.34,14848.41,17.67,22.34,651,69.43,29.34,0.46,0.77,533.67,0,62.17,16292.34,14848.41,
Rwanda,Faeroe Islands,2022,Exports & Imports,,1,,0.03,,,2.56,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Gabon,2022,Exports & Imports,5,6,0.22,0.16,8.13,9.1,0.97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,United Kingdom,2022,Exports & Imports,86,1055,3.76,28.78,18379.29,46464.12,28084.83,0.55,2.3,13.51,12.01,325,56.31,42.46,0.31,0.92,533.67,0,12.33,5970.64,5770.6,13.51,12.01,325,56.31,42.46,0.31,0.92,533.67,0,12.33,5970.64,5770.6,
Rwanda,Georgia,2022,Exports & Imports,1,41,0.04,1.12,-389.79,0.88,390.68,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Ghana,2022,Exports & Imports,18,60,0.79,1.64,1670.92,1955.93,285.01,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Guinea,2022,Exports & Imports,2,8,0.09,0.22,-2.46,1.48,3.94,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,"Gambia, The",2022,Exports & Imports,,3,,0.08,,,3.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Equatorial Guinea,2022,Exports & Imports,,2,,0.05,,,3.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Greece,2022,Exports & Imports,1,61,0.04,1.66,306.1,906.43,600.33,0.01,0.04,10.94,4.93,17,58.82,41.18,0,0,35,0,0,91.97,301.75,10.94,4.93,17,58.82,41.18,0,0,35,0,0,91.97,301.75,
Rwanda,Grenada,2022,Exports & Imports,,1,,0.03,,,0.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Guatemala,2022,Exports & Imports,,2,,0.05,,,1.72,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,"Hong Kong, China",2022,Exports & Imports,11,722,0.48,19.69,6185.96,39448.19,33262.23,0.65,1.95,16.44,2.42,90,71.11,28.89,0,0,35,0,0,756.02,4593.72,16.44,2.42,90,71.11,28.89,0,0,35,0,0,756.02,4593.72,
Rwanda,Honduras,2022,Exports & Imports,,1,,0.03,,,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Croatia,2022,Exports & Imports,,28,,0.76,,,1793.6,0.04,,0,0,3,0,100,0,0,0,0,0,0,9.39,0,0,3,0,100,0,0,0,0,0,0,9.39,
Rwanda,Hungary,2022,Exports & Imports,,113,,3.08,,,1452.52,0.03,,4.74,0.08,22,31.82,63.64,4.55,0,25,0,126.05,131.26,1005.19,4.74,0.08,22,31.82,63.64,4.55,0,25,0,126.05,131.26,1005.19,
Rwanda,Indonesia,2022,Exports & Imports,3,176,0.13,4.8,-107792.65,69.17,107861.82,2.1,0,17.29,16.52,11,100,0,0,0,25,10,0,509.21,0,17.29,16.52,11,100,0,0,0,25,10,0,509.21,0,
Rwanda,India,2022,Exports & Imports,21,1847,0.92,50.38,-404373.68,71177.93,475551.61,9.28,3.52,12.16,26.44,1314,59.51,39.65,0.23,0.61,533.67,0,248.14,75980.62,51913.95,12.16,26.44,1314,59.51,39.65,0.23,0.61,533.67,0,248.14,75980.62,51913.95,
Rwanda,British Indian Ocean Ter.,2022,Exports & Imports,,1,,0.03,,,0.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Ireland,2022,Exports & Imports,3,50,0.13,1.36,3772.66,7029.34,3256.68,0.06,0.35,6.94,4.14,20,40,60,0,0,35,0,0,146.87,375.67,6.94,4.14,20,40,60,0,0,35,0,0,146.87,375.67,
Rwanda,"Iran, Islamic Rep.",2022,Exports & Imports,2,92,0.09,2.51,-221.55,895.61,1117.16,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Iraq,2022,Exports & Imports,,1,,0.03,,,0.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Iceland,2022,Exports & Imports,,10,,0.27,,,68.14,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Israel,2022,Exports & Imports,14,171,0.61,4.66,-5774.35,11.85,5786.2,0.11,0,6.25,2.35,42,40.48,59.52,0,0,35,0,0,812,6033,6.25,2.35,42,40.48,59.52,0,0,35,0,0,812,6033,
Rwanda,Italy,2022,Exports & Imports,19,869,0.83,23.7,-22425.83,7416.81,29842.64,0.58,0.37,14.31,9.44,335,58.81,39.7,0.6,0.9,533.67,0,29.65,4970.52,11850.46,14.31,9.44,335,58.81,39.7,0.6,0.9,533.67,0,29.65,4970.52,11850.46,
Rwanda,Jamaica,2022,Exports & Imports,1,2,0.04,0.05,-0.75,0.61,1.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Jordan,2022,Exports & Imports,18,18,0.79,0.49,-1391.63,420.45,1812.08,0.04,0.02,9.5,3.97,12,50,50,0,0,35,0,0,391.62,1426.87,9.5,3.97,12,50,50,0,0,35,0,0,391.62,1426.87,
Rwanda,Japan,2022,Exports & Imports,9,555,0.39,15.14,-70459.69,7693,78152.68,1.52,0.38,6.54,13.37,68,39.71,54.41,5.88,0,35,0,212.45,4718.42,1704.78,6.54,13.37,68,39.71,54.41,5.88,0,35,0,212.45,4718.42,1704.78,
Rwanda,Kenya,2022,Exports & Imports,262,1990,11.45,54.28,-466880,11877.93,478757.92,9.34,0.59,0,0,2014,0,100,0,0,0,0,0,4867.75,327713.81,14.81,19.79,2014,65.09,34.21,0,0.7,533.67,0,0,247244.25,85337.31,1
Rwanda,Kyrgyz Republic,2022,Exports & Imports,1,4,0.04,0.11,86.29,90.4,4.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Cambodia,2022,Exports & Imports,,31,,0.85,,,35.46,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Kiribati,2022,Exports & Imports,,1,,0.03,,,6.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,St. Kitts and Nevis,2022,Exports & Imports,,1,,0.03,,,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,"Korea, Rep.",2022,Exports & Imports,24,645,1.05,17.59,-61290.14,2220.86,63511,1.24,0.11,10.15,7.99,138,47.1,47.83,4.35,0.72,35,0,3656.85,9733.02,2333.96,10.15,7.99,138,47.1,47.83,4.35,0.72,35,0,3656.85,9733.02,2333.96,
Rwanda,Kuwait,2022,Exports & Imports,,11,,0.3,,,17077.38,0.33,,355.78,355.78,3,0,0,0,100,533.67,266.83,0,0.49,0,355.78,355.78,3,0,0,0,100,533.67,266.83,0,0.49,0,
Rwanda,Lao PDR,2022,Exports & Imports,,6,,0.16,,,10.47,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Lebanon,2022,Exports & Imports,4,125,0.17,3.41,-2761.81,4.4,2766.21,0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Liberia,2022,Exports & Imports,,2,,0.05,,,20376.69,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Latin America & Caribbean,2022,Exports & Imports,22,370,0.96,10.09,-37811.25,52.42,37863.66,0.74,0,11.82,20.31,136,66.18,33.82,0,0,35,0,0,1563.26,779.25,12.05,20.31,125,64.8,35.2,0,0,35,0,0,1563.26,779.25,
Rwanda,Sri Lanka,2022,Exports & Imports,3,49,0.13,1.34,-2169.08,62.94,2232.02,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Lithuania,2022,Exports & Imports,,27,,0.74,,,13241.9,0.26,,12.42,11.75,27,55.56,44.44,0,0,35,0,0,928.61,744.55,12.42,11.75,27,55.56,44.44,0,0,35,0,0,928.61,744.55,
