Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Rwanda,Papua New Guinea,2022,Exports & Imports,,1,,0.03,,,18.53,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Poland,2022,Exports & Imports,5,201,0.22,5.48,-11115.87,2326.06,13441.93,0.26,0.12,16.66,23.96,151,64.24,33.77,0,1.99,533.67,0,0,7102.35,5169.97,16.66,23.96,151,64.24,33.77,0,1.99,533.67,0,0,7102.35,5169.97,
Rwanda,"Korea, Dem. Rep.",2022,Exports & Imports,2,48,0.09,1.31,-2651.22,436.17,3087.39,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Portugal,2022,Exports & Imports,12,646,0.52,17.62,-25233.99,15.74,25249.73,0.49,0,13.71,10.91,447,67.79,32.21,0,0,50,0,0,10789.92,7849.77,13.71,10.91,447,67.79,32.21,0,0,50,0,0,10789.92,7849.77,
Rwanda,Occ.Pal.Terr,2022,Exports & Imports,,1,,0.03,,,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,French Polynesia,2022,Exports & Imports,,1,,0.03,,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Qatar,2022,Exports & Imports,37,27,1.62,0.74,-2704.77,2951.41,5656.18,0.11,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Romania,2022,Exports & Imports,5,91,0.22,2.48,-331.49,25.46,356.95,0.01,0,13.33,2.85,14,71.43,21.43,7.14,0,35,0,49.37,81.79,44.52,13.33,2.85,14,71.43,21.43,7.14,0,35,0,49.37,81.79,44.52,
Rwanda,Russian Federation,2022,Exports & Imports,4,37,0.17,1.01,-34768.37,4123.61,38891.97,0.76,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,South Asia,2022,Exports & Imports,31,1887,1.35,51.47,-421648.12,110273.05,531921.17,10.38,5.46,12.19,26.31,1335,59.4,39.78,0.22,0.6,533.67,0,248.14,76026,52521.09,12.18,26.31,1319,59.59,39.58,0.22,0.6,533.67,0,248.14,76026,52521.09,
Rwanda,Saudi Arabia,2022,Exports & Imports,42,101,1.83,2.75,-159898.58,1988.05,161886.63,3.16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Senegal,2022,Exports & Imports,7,57,0.31,1.55,-481.93,16.91,498.85,0.01,0,19.58,2.83,7,71.43,28.57,0,0,35,0,0,62.2,211.64,19.58,2.83,7,71.43,28.57,0,0,35,0,0,62.2,211.64,
Rwanda,"Serbia, FR(Serbia/Montenegro)",2022,Exports & Imports,,27,,0.74,,,265.52,0.01,,8.57,30.22,8,50,50,0,0,35,0,0,144.01,10.43,8.57,30.22,8,50,50,0,0,35,0,0,144.01,10.43,
Rwanda,Singapore,2022,Exports & Imports,7,83,0.31,2.26,-91.67,32717.08,32808.75,0.64,1.62,7.78,8.93,20,45,55,0,0,25,0,0,929.61,740.35,7.78,8.93,20,45,55,0,0,25,0,0,929.61,740.35,
Rwanda,Saint Helena,2022,Exports & Imports,,1,,0.03,,,1.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Sierra Leone,2022,Exports & Imports,,16,,0.44,,,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,El Salvador,2022,Exports & Imports,,1,,0.03,,,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Somalia,2022,Exports & Imports,7,1,0.31,0.03,866.31,866.35,0.04,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,South Sudan,2022,Exports & Imports,61,65,2.66,1.77,21727.97,22005.6,277.64,0.01,1.09,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Sub-Saharan Africa,2022,Exports & Imports,2228,2578,97.34,70.32,-542929.94,903072.21,1446002.15,28.22,44.72,5.5,2.13,4155,24.24,75.55,0.07,0.14,100,0,66.35,47294.72,578820.87,14.89,23.37,2425,65.2,33.86,0.17,0.39,533.67,0,199.45,503454.67,122660.93,5
Rwanda,Sudan,2022,Exports & Imports,23,19,1,0.52,6222.43,6232.33,9.9,0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Suriname,2022,Exports & Imports,,4,,0.11,,,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Slovak Republic,2022,Exports & Imports,,61,,1.66,,,8396.06,0.16,,10.9,10.17,40,62.5,37.5,0,0,25,0,0,4386.59,26.73,10.9,10.17,40,62.5,37.5,0,0,25,0,0,4386.59,26.73,
Rwanda,Slovenia,2022,Exports & Imports,,154,,4.2,,,7208.85,0.14,,7.54,0.32,116,53.45,45.69,0.86,0,35,0,4.54,77.14,2340.55,7.54,0.32,116,53.45,45.69,0.86,0,35,0,4.54,77.14,2340.55,
Rwanda,Sweden,2022,Exports & Imports,35,301,1.53,8.21,-9816.47,558.57,10375.04,0.2,0.03,12.44,3.2,139,48.92,46.04,2.88,2.16,533.67,0,105.69,659.27,2476.6,12.44,3.2,139,48.92,46.04,2.88,2.16,533.67,0,105.69,659.27,2476.6,
Rwanda,Eswatini,2022,Exports & Imports,2,84,0.09,2.29,-26226.6,3.15,26229.75,0.51,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Seychelles,2022,Exports & Imports,,6,,0.16,,,109.79,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Syrian Arab Republic,2022,Exports & Imports,,5,,0.14,,,12.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Turks and Caicos Isl.,2022,Exports & Imports,,13,,0.35,,,12.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Chad,2022,Exports & Imports,1,1,0.04,0.03,5.84,14.99,9.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Togo,2022,Exports & Imports,2,27,0.09,0.74,-68.82,4.42,73.24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Thailand,2022,Exports & Imports,5,276,0.22,7.53,-23008.25,1759.86,24768.1,0.48,0.09,13.58,14.03,90,67.78,31.11,1.11,0,35,0,113.35,2083.25,574.82,13.58,14.03,90,67.78,31.11,1.11,0,35,0,113.35,2083.25,574.82,
Rwanda,Tokelau,2022,Exports & Imports,,49,,1.34,,,717.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,East Timor,2022,Exports & Imports,,2,,0.05,,,43.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Trinidad and Tobago,2022,Exports & Imports,,2,,0.05,,,25.54,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Tunisia,2022,Exports & Imports,1,77,0.04,2.1,-573.53,5.51,579.04,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Turkey,2022,Exports & Imports,15,1125,0.66,30.69,-96113.93,6899.96,103013.9,2.01,0.34,15.81,20.79,1081,71.97,27.84,0,0.19,60,0,0,36311,10356.23,15.81,20.79,1081,71.97,27.84,0,0.19,60,0,0,36311,10356.23,
Rwanda,Tuvalu,2022,Exports & Imports,,1,,0.03,,,0.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Tanzania,2022,Exports & Imports,213,708,9.31,19.31,-560722.1,7138.88,567860.98,11.08,0.35,0,0,635,0,100,0,0,0,0,0,618.25,236249.96,17.8,28.17,635,71.18,27.09,0.16,1.57,533.67,0,2.81,214019.58,22848.63,1
Rwanda,Uganda,2022,Exports & Imports,241,1050,10.53,28.64,-32303.71,22772.91,55076.62,1.07,1.13,,,,,,,,,,,,,,,,,,,,,,,,,1
Rwanda,Ukraine,2022,Exports & Imports,3,54,0.13,1.47,-3629.79,298.69,3928.48,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Uruguay,2022,Exports & Imports,,1,,0.03,,,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,United States,2022,Exports & Imports,180,1298,7.86,35.41,-63282.01,23703.51,86985.52,1.7,1.17,11.74,15.03,259,47.49,50.58,0.39,1.54,533.67,0,64.4,10093.17,12213.64,11.74,15.03,259,47.49,50.58,0.39,1.54,533.67,0,64.4,10093.17,12213.64,
Rwanda,Holy See,2022,Exports & Imports,,1,,0.03,,,0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,St. Vincent and the Grenadines,2022,Exports & Imports,,10,,0.27,,,1.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Venezuela,2022,Exports & Imports,,10,,0.27,,,6.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Vietnam,2022,Exports & Imports,4,173,0.17,4.72,-12573.38,4354.85,16928.23,0.33,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda, World,2022,Exports & Imports,2289,3666,100,100,-3105386.18,2019269.8,5124655.98,100,100,11.95,12.17,17106,53.43,45.63,0.41,0.53,533.67,0,18298.22,699434.92,995737.74,13.46,20,5325,61.33,38.1,0.05,0.12,533.67,0,18431.32,1155594.87,539577.79,2
Rwanda,South Africa,2022,Exports & Imports,63,1243,2.75,33.91,-130137.98,666.45,130804.43,2.55,0.03,15.71,18.68,1158,71.16,28.5,0,0.35,100,0,0,18665.66,8387.73,15.71,18.68,1158,71.16,28.5,0,0.35,100,0,0,18665.66,8387.73,
Rwanda,"Congo, Dem. Rep.",2022,Exports & Imports,2132,523,93.14,14.27,734773.34,768272.62,33499.28,0.65,38.05,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Zambia,2022,Exports & Imports,134,90,5.85,2.46,-34434.77,3796.48,38231.25,0.75,0.19,14.39,29.85,38,60.53,34.21,2.63,2.63,100,0,3.22,20531.34,5783.12,14.39,29.85,38,60.53,34.21,2.63,2.63,100,0,3.22,20531.34,5783.12,
Rwanda,Zimbabwe,2022,Exports & Imports,8,83,0.35,2.26,-2351.71,283.56,2635.27,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
